City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
san ramon,US,37.78,-121.98,60.8,87,1,4.6
vostok,RU,46.49,135.88,79.16000000000008,59,0,3.07
kaitangata,NZ,-46.28,169.85,37.99400000000007,89,88,2.96
syedove,UA,47.08,38.16,73.00400000000005,100,100,6.71
santa marta,CO,11.24,-74.2,75.00200000000008,88,15,4.64
porto novo,BJ,6.5,2.6,75.2,94,20,3.1
saint-georges,GD,12.06,-61.75,80.6,83,20,5.1
narathiwat,TH,6.33,101.75,89.6,59,20,3.6
songjianghe,CN,42.19,127.48,81.5,54,55,2.05
plettenberg bay,ZA,-34.05,23.37,66.05600000000004,27,0,1.25
jumla,NP,29.27,82.18,75.00200000000008,93,68,2.65
boffa,GN,10.17,-14.03,73.47200000000004,95,100,3.98
isla vista,US,34.41,-119.86,60.00800000000001,87,1,1.5
danshui,CN,22.8,114.47,91.99400000000009,32,45,2.68
valparaiso,CL,-33.04,-71.63,50.0,100,90,1.5
kalur kot,PK,32.16,71.26,102.86600000000001,33,0,2.65
babag,PH,7.73,126.07,85.83800000000005,76,100,1.59
uinskoye,RU,56.88,56.58,85.69400000000007,53,75,2.77
praya,CV,14.92,-23.51,75.2,73,75,4.6
parksville,CA,49.32,-124.32,64.99400000000009,87,86,2.04
acapulco,MX,16.86,-99.89,80.94200000000001,72,93,1.7
dzaoudzi,YT,-12.79,45.27,80.6,61,75,10.3
horta,PT,38.53,-28.63,68.0,77,75,3.6
ambilobe,MG,-13.2,49.05,89.76200000000006,34,0,0.71
namibe,AO,-15.2,12.15,79.84400000000008,25,2,6.83
awbari,LY,26.59,12.78,97.32200000000005,12,0,4.32
nola,IT,40.92,14.53,78.00800000000001,61,40,1.5
valreas,FR,44.38,4.99,71.6,56,4,13.4
chapais,CA,49.78,-74.85,64.4,100,90,2.1
rawson,AR,-43.3,-65.1,43.66400000000003,88,100,5.83
talcahuano,CL,-36.72,-73.12,55.400000000000006,87,100,11.3
turukhansk,RU,65.82,87.98,57.56000000000009,57,100,8.57
alekseyevka,RU,50.63,38.69,70.57400000000001,61,100,2.0
ambanja,MG,-13.68,48.45,83.78600000000007,46,0,1.43
esmeraldas,BR,-19.76,-44.31,59.0,93,12,2.6
geraldton,AU,-28.77,114.6,62.6,63,40,7.2
mongagua,BR,-24.09,-46.62,57.2,87,75,2.6
parabel,RU,58.7,81.48,71.834,47,7,3.86
rosignano marittimo,IT,43.41,10.47,73.99400000000009,78,40,2.1
cardenas,CU,23.04,-81.2,75.2,100,20,2.6
bosaso,SO,11.28,49.18,98.60000000000001,30,86,12.3
myitkyina,MM,25.38,97.4,75.542,96,100,1.7
nazas,MX,25.23,-104.13,76.74800000000002,50,100,1.74
nyagan,RU,62.14,65.39,91.13000000000005,43,0,2.12
roebourne,AU,-20.78,117.13,77.108,38,0,4.59
baft,IR,29.23,56.61,82.83200000000002,20,65,2.88
fez,MA,34.04,-5.0,84.2,39,28,2.6
dandong,CN,40.13,124.39,79.142,62,11,3.58
husavik,IS,66.04,-17.34,44.6,87,90,18.0
paamiut,GL,61.99,-49.67,45.69800000000002,68,0,2.91
honningsvag,NO,70.98,25.97,53.6,87,99,0.5
cosala,MX,24.41,-106.69,74.44400000000007,78,100,1.07
itzehoe,DE,53.92,9.52,64.00400000000005,81,0,0.45
ayame,CI,5.61,-3.16,73.86800000000008,87,99,1.02
kintampo,GH,8.06,-1.73,71.00600000000003,94,100,2.55
skjervoy,NO,70.03,20.97,64.4,68,100,5.7
caravelas,BR,-17.71,-39.25,69.24199999999999,81,58,3.22
san andres,CO,12.58,-81.7,82.4,78,40,4.6
cape coast,GH,5.11,-1.25,75.50600000000003,86,46,3.23
ozinki,RU,51.18,49.68,80.52800000000008,33,41,4.77
dzilam gonzalez,MX,21.28,-88.93,75.48800000000006,97,15,1.37
fare,PF,-16.7,-151.02,78.27800000000008,75,54,2.19
buala,SB,-8.14,159.59,81.05000000000001,77,100,1.89
adre,TD,13.47,22.2,80.36600000000001,60,96,4.13
olga,RU,43.74,135.29,72.98600000000008,69,17,3.71
luau,AO,-10.71,22.22,63.464000000000034,41,0,4.41
ishikari,JP,43.24,141.35,78.00800000000001,61,20,4.6
nanortalik,GL,60.14,-45.24,46.832000000000015,64,4,0.28
dombarovskiy,RU,50.76,59.54,89.67200000000004,25,0,4.81
kudahuvadhoo,MV,2.67,72.89,84.25400000000005,69,71,1.73
ouargaye,BF,11.5,0.06,77.05400000000006,78,80,4.03
pierre,US,44.37,-100.35,69.80000000000001,73,1,4.1
de aar,ZA,-30.65,24.01,37.4,44,0,4.1
nara,JP,34.69,135.8,80.99600000000005,78,75,1.5
piatra soimului,RO,46.83,26.43,69.80000000000001,73,99,2.6
batagay-alyta,RU,67.8,130.41,51.242,79,100,1.97
tyukhtet,RU,56.54,89.3,72.53600000000007,44,0,4.34
tocopilla,CL,-22.09,-70.2,58.02800000000006,67,37,0.17
maumere,ID,-8.62,122.21,80.76200000000006,68,35,1.37
tank,PK,32.22,70.38,102.72200000000004,31,23,3.45
shuyskoye,RU,59.37,41.03,63.05,88,90,1.73
waingapu,ID,-9.66,120.26,82.94000000000003,66,0,6.42
mongo,TD,12.18,18.69,77.82800000000006,70,85,3.15
nome,US,64.5,-165.41,57.2,87,90,3.1
lasa,IT,46.62,10.7,50.0,81,75,2.6
parana,AR,-31.73,-60.52,48.992,93,12,0.89
riverton,US,40.52,-111.94,78.80000000000001,27,1,3.1
nuuk,GL,64.18,-51.72,50.0,81,0,1.0
dunedin,NZ,-45.87,170.5,42.998000000000026,76,97,13.41
palenque,MX,17.52,-91.97,72.91400000000004,90,93,1.46
jacareacanga,BR,-6.22,-57.75,71.042,79,87,0.42
marzuq,YE,14.4,46.47,92.03000000000004,25,40,5.34
venustiano carranza,MX,19.43,-99.1,64.4,59,40,4.1
vizinga,RU,61.07,50.1,75.79400000000007,49,81,2.93
khandyga,RU,62.67,135.6,84.84800000000003,28,0,0.93
koroni,GR,36.8,21.95,80.6,61,20,1.28
palmer,US,42.16,-72.33,62.6,82,90,2.6
poum,NC,-20.23,164.02,70.28600000000007,59,0,5.66
honiara,SB,-9.43,159.95,84.2,74,75,2.6
kedrovyy,RU,56.17,91.82,69.80000000000001,52,40,5.0
impfondo,CG,1.64,18.07,75.2,94,40,1.62
tanout,NE,14.97,8.89,86.03600000000007,52,79,4.62
lincoln,US,40.8,-96.67,75.2,83,1,3.6
ambon,ID,-3.7,128.18,84.2,74,40,3.1
carrollton,US,32.95,-96.89,84.99199999999999,66,1,3.1
barranca,PE,-10.75,-77.77,58.26200000000006,87,77,1.7
meulaboh,ID,4.14,96.13,84.05600000000004,78,53,3.64
ponta delgada,PT,37.73,-25.67,66.2,88,75,4.1
great yarmouth,GB,52.61,1.73,69.00800000000001,77,3,3.1
tolbazy,RU,54.02,55.88,87.80000000000001,43,40,2.0
luderitz,NA,-26.65,15.16,70.21400000000003,22,0,10.75
aguimes,ES,27.91,-15.45,71.6,83,20,8.2
